title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Appartement Neuf 84 m² à Guéliz Avec Piscine,1550000.0,Marrakech,Guéliz,84.0,2.0,2.0,2.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_Neuf_84_m%C2%B2_%C3%A0_Gu%C3%A9liz_Avec_Piscine_56259750.htm,18452.38,,Low floor,Upper mid-range,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
Appartement à vendre 64 m² à Ben Guerir,370000.0,Ben Guerir,Toute la ville,,3.0,2.0,1.0,,https://www.avito.ma/fr/ben_guerir/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Ben_Guerir_54952031.htm,,,Low floor,Budget,Unknown,Ben Guerir | Toute la ville,1,0,1,1,1,0,0,0
Appartement d’architecte neuf sans vis-à-vis,1750000.0,Casablanca,Franceville,83.0,2.0,2.0,4.0,,https://www.avito.ma/fr/franceville/appartements/Appartement_d_architecte_neuf_sans_vis_%C3%A0_vis_57272154.htm,21084.34,,Mid floor,Upper mid-range,Medium,Casablanca | Franceville,1,1,1,1,1,0,0,0
Appartement à vendre 116 m² à Tanger,1392000.0,Tanger,Moulay Youssef,126.0,3.0,2.0,5.0,,https://www.avito.ma/fr/moulay_youssef/appartements/Appartement_%C3%A0_vendre_116_m%C2%B2_%C3%A0_Tanger_57014352.htm,11047.62,,Mid floor,Upper mid-range,Large,Tanger | Moulay Youssef,1,1,1,1,1,0,0,0
Appartement 2 chambres corniche investisseurs airbnb,1100000.0,Tanger,Malabata,75.0,2.0,1.0,2.0,,https://www.avito.ma/fr/malabata/appartements/Appartement_2_chambres_corniche_investisseurs_airbnb_57831155.htm,14666.67,,Low floor,Upper mid-range,Medium,Tanger | Malabata,1,1,1,1,1,0,0,0
CMN-HA-1848 - Appartement à vendre à Lissasfa,930000.0,Casablanca,Lissasfa,103.0,3.0,1.0,5.0,,https://www.avito.ma/fr/lissasfa/appartements/CMN_HA_1848___Appartement_%C3%A0_vendre_%C3%A0_Lissasfa_57291337.htm,9029.13,,Mid floor,Mid-range,Large,Casablanca | Lissasfa,1,1,1,1,1,0,0,0
Appartement à vendre 83 m² à guéliz Marrakech,1650000.0,Marrakech,Guéliz,80.0,2.0,1.0,4.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_83_m%C2%B2_%C3%A0_gu%C3%A9liz_Marrakech_55798412.htm,20625.0,,Mid floor,Upper mid-range,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
Appartement 86m² à vendre – Al Azdihar Marrakech,1300000.0,Marrakech,Hay Izdihar,86.0,2.0,2.0,4.0,,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_86m%C2%B2_%C3%A0_vendre___Al_Azdihar_Marrakech_57834491.htm,15116.28,,Mid floor,Upper mid-range,Medium,Marrakech | Hay Izdihar,1,1,1,1,1,0,0,0
Appartement Valencia Beach Mansouria,840000.0,Mohammedia,Corniche,89.0,2.0,1.0,1.0,,https://www.avito.ma/fr/corniche/appartements/Appartement_Valencia_Beach_Mansouria_57224794.htm,9438.2,,Low floor,Mid-range,Medium,Mohammedia | Corniche,1,1,1,1,1,0,0,0
Bel appart RDC SUR centre ville,650000.0,Mohammedia,Centre Ville,80.0,2.0,1.0,0.0,,https://www.avito.ma/fr/centre_ville/appartements/Bel_appart_RDC_SUR_centre_ville_55947144.htm,8125.0,,Ground floor,Mid-range,Medium,Mohammedia | Centre Ville,1,1,1,1,1,0,1,0
