listing_url,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,price_per_m2,property_age,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
https://www.avito.ma/fr/errahma/appartements/Appartement_1er_chouka_%C3%A0_vendre_50m%C2%B2_ERRAHMA_Casa_56040509.htm,350000.0,Casablanca,Errahma,50.0,2.0,1.0,1.0,,7000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Tanger_57844570.htm,1100000.0,Tanger,Centre,74.0,2.0,2.0,3.0,,14864.86,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/cgi/appartements/Appartement_%C3%A0_vendre_CGI_%C3%A0_Oujda_54393879.htm,330000.0,Oujda,Cgi,,5.0,1.0,2.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_98m%C2%B2_chouka_%C3%A0_vendre_Fouarat_Casa_56770374.htm,950000.0,Casablanca,Hay Mohammadi,147.0,3.0,1.0,1.0,,6462.59,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/maarif/appartements/Appartement_138m%C2%B2_au_2%C3%A8me_%C3%A9tg_au_Ma%C3%A2rif_55941961.htm,1800000.0,Casablanca,Maârif,138.0,3.0,3.0,2.0,,13043.48,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_vide_%C3%A0_vendre_sur_la_Route_de_Rabat_56652097.htm,1232500.0,Tanger,Autre Secteur,,3.0,2.0,3.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_54392947.htm,400000.0,Oujda,Centre Ville,80.0,2.0,1.0,1.0,,5000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/APPART_91m_2FACES_vue_piscine_%C3%A0_MARBELLA_BEACH_57747136.htm,1030000.0,Mohammedia,Autre Secteur,91.0,2.0,2.0,2.0,,11318.68,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_71_m%C2%B2_%C3%A0_Bouznika_56368488.htm,600000.0,Bouznika,Autre Secteur,71.0,2.0,1.0,3.0,,8450.7,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/el_mansouria/appartements/%C3%80_vendre_un_joli_appartement_meubl%C3%A9_avec_piscine_56846634.htm,1250000.0,El Mansouria,Toute la ville,92.0,2.0,2.0,1.0,,13586.96,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/de_la_plage/appartements/Appartement_%C3%A0_vendre_134_m%C2%B2_%C3%A0_Tanger_56300463.htm,2546000.0,Tanger,De La Plage,134.0,3.0,2.0,2.0,,19000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_R_2_bien_ensoleill%C3%A9_56760810.htm,370000.0,El Jadida,Autre Secteur,,2.0,1.0,2.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/ait_melloul/appartements/appartement_%C3%A0_vendre_ait_meloul_57810300.htm,960000.0,Ait Melloul,Toute la ville,119.0,3.0,2.0,0.0,,8067.23,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_neuf_%C3%A0_vendre_au_Qu__des_h%C3%B4pitaux_57742341.htm,1360000.0,Casablanca,Quartier Des Hôpitaux,,2.0,2.0,4.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/m_hamid/appartements/Duplex_%C3%A0_vendre_%C3%A0_Marrakech___Cherifia___Proche_de_l_a%C3%A9roport_57844559.htm,840000.0,Marrakech,M'Hamid,61.0,1.0,1.0,,,13770.49,,1,1,1,1,0,0,0,0
https://www.avito.ma/fr/mozart/appartements/Vente_Appartement_95_m%C2%B2_NEJMA_57844555.htm,1850000.0,Tanger,Mozart,95.0,3.0,2.0,5.0,,19473.68,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Oujda_54489101.htm,3700000.0,Oujda,Centre Ville,85.0,2.0,1.0,1.0,,43529.41,,1,1,1,1,1,0,0,0
